canonical_material_id,material_name,material_aliases,NIST_isotherm_id,DOI,measurement_type,temperature_K,pressure_bar,pressure_units,relative_humidity_percent,uptake,uptake_units,uptake_kg_per_kg,adsorption_or_desorption_branch,activation_conditions,source_quality_flags
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.002741,bar,47.74,274.55,cm3(STP)/g,0.22067,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.00282,bar,49.12,276.72,cm3(STP)/g,0.22241,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.002861,bar,49.83,277.64,cm3(STP)/g,0.22315,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.002949,bar,51.36,281.14,cm3(STP)/g,0.22596,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.002996,bar,52.18,282.31,cm3(STP)/g,0.2269,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.003074,bar,53.54,284.98,cm3(STP)/g,0.22905,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.003115,bar,54.25,285.56,cm3(STP)/g,0.22952,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.00319,bar,55.56,288.4,cm3(STP)/g,0.2318,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.003243,bar,56.48,288.82,cm3(STP)/g,0.23214,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.003296,bar,57.41,289.4,cm3(STP)/g,0.2326,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.003394,bar,59.11,294.16,cm3(STP)/g,0.23643,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.003448,bar,60.05,294.49,cm3(STP)/g,0.23669,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.003528,bar,61.45,297.58,cm3(STP)/g,0.23918,adsorption,,digitized_from_figure;branch_inferred_from_point_order
